Date,NSA Value,SA Value
2006-07-31,129.03621994,126.95809142
2006-06-30,128.51585761,126.63622417
2006-05-31,127.51050206,126.28468676
2006-04-30,126.39755118,125.8636386
2006-03-31,125.61928768,125.75188484
2006-02-28,124.77220919,125.4135093
2006-01-31,124.05001243,124.79503525
2005-12-31,124.02284086,124.31430433
2005-11-30,124.16644234,123.8409914
2005-10-31,123.95548295,123.23635785
2005-09-30,123.63694895,122.47441079
2005-08-31,123.25948796,121.62938811
2005-07-31,122.88055036,121.04534259
2005-06-30,122.30767909,120.63969959
2005-05-31,121.33985621,120.19808715
2005-04-30,120.2971688,119.76209487
2005-03-31,119.11039222,119.16194452
2005-02-28,117.96702727,118.5208574
2005-01-31,117.40259288,118.02778388
2004-12-31,117.45574275,117.62149371
2004-11-30,117.527886,117.15735669
2004-10-31,117.23922652,116.57143889
2004-09-30,117.24664985,116.18651997
2004-08-31,117.38379933,115.91729378
2004-07-31,117.13958799,115.50006988
2004-06-30,116.46983716,114.98243135
2004-05-31,115.32442678,114.27575191
2004-04-30,114.16292168,113.63368561
2004-03-31,113.07644497,113.0577303
2004-02-29,112.08850434,112.53169009
2004-01-31,111.57982321,112.07409409
2003-12-31,111.44192569,111.52996279
2003-11-30,111.3516126,110.98831091
2003-10-31,111.24080208,110.59033138
2003-09-30,111.19595402,110.23605853
2003-08-31,110.93611107,109.6577542
2003-07-31,110.39090635,108.94689634
2003-06-30,109.96708804,108.66024512
2003-05-31,109.46435814,108.48872953
2003-04-30,108.72403316,108.16769022
2003-03-31,107.88730126,107.78549076
2003-02-28,107.216641,107.54735777
2003-01-31,106.92396832,107.30556367
2002-12-31,107.02734661,107.08076311
2002-11-30,107.10626335,106.76241361
2002-10-31,106.94889629,106.32399149
2002-09-30,106.81087813,105.9581435
2002-08-31,106.76916636,105.63451586
2002-07-31,106.66791734,105.34804409
2002-06-30,106.24361462,105.03615777
2002-05-31,105.5661005,104.64934406
2002-04-30,104.86925853,104.29948471
2002-03-31,104.18369624,103.99196972
2002-02-28,103.3741076,103.58321556
2002-01-31,102.67320499,102.96698748
2001-12-31,102.35447531,102.39674311
2001-11-30,102.42246525,102.1159148
2001-10-31,102.56782834,101.96706851
2001-09-30,102.48919959,101.72732902
2001-08-31,102.41527456,101.4028089
2001-07-31,102.48008594,101.27701221
2001-06-30,102.27488874,101.14934183
2001-05-31,101.78208493,100.91802397
2001-04-30,101.34615229,100.76464861
2001-03-31,101.00084532,100.75545095
2001-02-28,100.53561362,100.67724799
2001-01-31,100.04388033,100.27657947
2000-12-31,100.0,100.0
2000-11-30,100.26765672,99.961719215
2000-10-31,100.32777373,99.758706971
2000-09-30,100.20710934,99.514255608
2000-08-31,100.34655421,99.38343041
2000-07-31,100.43184142,99.296433928
2000-06-30,100.22001055,99.152743163
2000-05-31,99.966735142,99.136514944
2000-04-30,99.591144456,99.017210322
2000-03-31,99.070903461,98.819744638
2000-02-29,98.593624651,98.698876573
2000-01-31,98.425584284,98.602932097
1999-12-31,98.177752975,98.108852401
1999-11-30,97.80232356,97.49740642
1999-10-31,97.786371269,97.246677585
1999-09-30,97.92923862,97.265714284
1999-08-31,97.91089735,96.984464402
1999-07-31,97.738321576,96.67677797
1999-06-30,97.370098382,96.357895441
1999-05-31,96.733819358,95.945599496
1999-04-30,96.167942237,95.631659288
1999-03-31,95.534056412,95.311356529
1999-02-28,94.753793595,94.855621198
1999-01-31,94.453307828,94.578281909
1998-12-31,94.537996609,94.404386248
1998-11-30,94.36285888,94.040183839
1998-10-31,94.109485188,93.592396186
1998-09-30,94.140350551,93.501864448
1998-08-31,94.163049042,93.280010197
1998-07-31,93.904316842,92.920364951
1998-06-30,93.556816164,92.606832413
1998-05-31,93.155718565,92.399641948
1998-04-30,92.651046684,92.168358896
1998-03-31,92.146228744,91.957784056
1998-02-28,91.765951364,91.864503037
1998-01-31,91.645370887,91.720725585
1997-12-31,91.636304171,91.474246402
1997-11-30,91.604950223,91.276974527
1997-10-31,91.528034636,91.019668642
1997-09-30,91.41348669,90.778619581
1997-08-31,91.343775526,90.497437985
1997-07-31,91.408648073,90.466856732
1997-06-30,91.380645436,90.435529393
1997-05-31,91.078256941,90.343809802
1997-04-30,90.664904485,90.238332473
1997-03-31,90.220934583,90.040514568
1997-02-28,89.855255109,89.9727797
1997-01-31,89.721533978,89.790894706
1996-12-31,89.814759779,89.662573343
1996-11-30,89.969037661,89.632745366
1996-10-31,90.057353513,89.542317179
1996-09-30,90.149104511,89.504586691
1996-08-31,90.269308698,89.414658564
1996-07-31,90.299013326,89.349498155
1996-06-30,90.223392386,89.271372758
1996-05-31,90.007514768,89.29517456
1996-04-30,89.614299425,89.236956309
1996-03-31,89.176282211,88.982563235
1996-02-29,88.938938604,89.084844513
1996-01-31,88.987973125,89.065047101
1995-12-31,89.037106674,88.92084822
1995-11-30,88.880455204,88.545939851
1995-10-31,88.821637004,88.303506788
1995-09-30,88.889022329,88.239925029
1995-08-31,88.69950454,87.840998704
1995-07-31,88.49102276,87.517858289
1995-06-30,88.302948118,87.335940221
1995-05-31,87.745562888,87.078983595
1995-04-30,87.152940793,86.810300241
