series_id,name,units,type,month
A3535074T,Chain Volume Measures ;  Civil aircraft and confidentialised items,$ Millions,Seasonally Adjusted,3
A3535075V,Chain Volume Measures ;  Industrial transport equipment n.e.s.,$ Millions,Seasonally Adjusted,3
A3535076W,Chain Volume Measures ;  Capital goods n.e.s.,$ Millions,Seasonally Adjusted,3
A3535077X,Chain Volume Measures ;  Intermediate and other merchandise goods,$ Millions,Seasonally Adjusted,3
A3535078A,"Chain Volume Measures ;  Food and beverages, mainly for industry",$ Millions,Seasonally Adjusted,3
A3535079C,Chain Volume Measures ;  Primary industrial supplies n.e.s.,$ Millions,Seasonally Adjusted,3
A3535080L,Chain Volume Measures ;  Fuels and lubricants,$ Millions,Seasonally Adjusted,3
A3535081R,Chain Volume Measures ;  Parts for transport equipment,$ Millions,Seasonally Adjusted,3
A3535082T,Chain Volume Measures ;  Parts for ADP equipment,$ Millions,Seasonally Adjusted,3
A3535083V,Chain Volume Measures ;  Other parts for capital goods,$ Millions,Seasonally Adjusted,3
A3535084W,Chain Volume Measures ;  Organic and inorganic chemicals,$ Millions,Seasonally Adjusted,3
A3535085X,Chain Volume Measures ;  Paper and paperboard,$ Millions,Seasonally Adjusted,3
A3535086A,Chain Volume Measures ;  Textile yarn and fabrics,$ Millions,Seasonally Adjusted,3
A3535087C,Chain Volume Measures ;  Iron and steel,$ Millions,Seasonally Adjusted,3
A3535088F,Chain Volume Measures ;  Plastics,$ Millions,Seasonally Adjusted,3
A3535089J,Chain Volume Measures ;  Processed industrial supplies n.e.s.,$ Millions,Seasonally Adjusted,3
A3535090T,Chain Volume Measures ;  Other merchandise goods,$ Millions,Seasonally Adjusted,3
A3535091V,Chain Volume Measures ;  Goods procured in ports by carriers,$ Millions,Seasonally Adjusted,3
A3535092W,Chain Volume Measures ;  Non-monetary gold,$ Millions,Seasonally Adjusted,3
A3534913A,Implicit Price Deflators ;  Total goods debits,Index Numbers,Seasonally Adjusted,3
A3534914C,Implicit Price Deflators ;  General merchandise,Index Numbers,Seasonally Adjusted,3
A3534915F,Implicit Price Deflators ;  Consumption goods,Index Numbers,Seasonally Adjusted,3
A3534916J,"Implicit Price Deflators ;  Food and beverages, mainly for consumption",Index Numbers,Seasonally Adjusted,3
